# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:19:38 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_7;COLUNA_13;COLUNA_5;COLUNA_12;COLUNA_14;COLUNA_8;TEMPO;PENAL
3;"MILTON JUNIOR (AL)
LEONARDO MAGALHAES (MG)
Can-Am Maverick R
Cotton Racing";;"02:52:37.24
(4)";"02:19:20.43
(6)";"02:12:30.84
(7)";"01:29:05.16
(2)";138;;;;"08:53:33.67
00:14:12.79
00:08:41.74";;;;;;;08:53:34.67;"00:00:12.00
00:00:13.00"
4;"OTAVIO HORT FILHO (SC)
IVO MEYER (SC)
Can-Am Maverick R
Hps Racing";;"02:52:58.57
(5)";"02:17:51.49
(3)";"02:11:16.71
(4)";"01:32:57.09
(5)";118;;;;"08:55:03.86
00:15:42.98
00:01:30.19";;;;;;;08:55:15.86;"* * *
00:00:12.00"
5;"RODRIGO VILHENA (AM)
PAULO MEDINA (AM)
Can-Am Maverick R
Dango Racing";;"03:01:45.74
(7)";"02:22:37.95
(7)";"02:10:10.83
(3)";"01:35:21.79
(6)";134;;;;"09:09:56.31
00:30:35.43
00:14:52.45";;;;;;;09:10:03.31;"00:01:20.00
00:01:27.00"
6;"RICARDO SANTOS (SP)
ROBSON SCHUINKA (PR)
Can-Am Maverick R
Hps Racing";;"03:14:52.44
(9)";"02:24:50.41
(8)";"02:10:10.62
(2)";"01:41:22.32
(7)";162;;;;"09:31:15.79
00:51:54.91
00:21:19.48";;;;;;;09:31:16.79;"00:00:06.00
00:00:07.00"
7;"THIAGO TORRES (SP)
EDUARDO SHIGA (SP)
Can-Am Maverick R
T+A Rally Team";;"02:57:18.58
(6)";"02:37:12.62
(9)";"02:32:01.66
(9)";"06:00:00.00
(8)";125;;;;"14:06:32.86
05:27:11.98
04:35:17.07";;;;;;;11:02:56.86;"03:03:46.00
00:00:10.00"
8;"DOUGLAS CARASSA (PR)
CLAUDIO RIESER (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"03:06:48.40
(8)";"07:25:00.00
(10)";"02:12:01.57
(6)";"01:29:57.29
(3)";169;;;;"14:13:47.26
05:34:26.38
00:07:14.40";;;;;;;10:25:41.26;"03:48:12.00
00:00:06.00"
9;"MICHEL FALQUEIRO (SP)
IGOR DE CARVALHO (PR)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"06:40:00.00
(10)";"02:19:11.34
(5)";"02:14:37.42
(8)";"06:00:00.00
(8)";146;;;;"17:13:48.76
08:34:27.88
03:00:01.50";;;;;;;12:13:53.76;"05:00:00.00
00:00:05.00"
10;"TATA XAVIER (AL)
ERICK SHARPEY (MG)
Polaris RZR Pro R
Cotton Racing - Polaris";;"02:51:33.96
(3)";"02:18:33.10
(4)";"11:50:00.00
(10)";"10:20:00.00
(10)";137;;;;"27:20:07.06
18:40:46.18
10:06:18.30";;;;;;;12:39:57.06;"14:40:10.00
* * *"
1;"RODRIGO BIANCHINI (SP)
FABIO ZELLER (SP)
Can-Am Maverick X3
Erp Motorsports";;"03:05:32.48
(4)";"02:26:06.49
(2)";"02:11:56.30
(3)";"01:47:23.16
(1)";143;;;;09:30:58.43;;;;;;;09:24:24.43;"00:06:36.00
00:00:02.00"
2;"CRISTIAN SCHERER (TO)
TOMAS VIZZOTO (TO)
Polaris RZR Pro R
Ghs Grandtec Racing";;"03:03:39.70
(3)";"02:32:37.94
(3)";"03:05:05.05
(4)";"01:58:16.54
(2)";159;;;;"10:39:39.23
01:08:40.80";;;;;;;10:33:35.23;"00:06:27.00
00:00:23.00"
3;"DONI MENEGAS (TO)
CAMILO CARRIAO (TO)
Polaris RZR Pro R
Ghs Grandtec Racing";;"02:59:12.98
(2)";"03:42:53.22
(5)";"02:08:22.24
(2)";"06:30:00.00
(5)";139;;;;"15:20:28.44
05:49:30.01
04:40:49.21";;;;;;;11:48:50.44;"03:36:00.00
00:04:22.00"
4;"VALENTINA FRANCIOSI (BA)
WELLINTON REZENDE (MG)
Polaris RZR Pro R
Cotton Racing";;"02:52:09.18
(1)";"07:25:00.00
(6)";"02:03:05.00
(1)";"05:30:00.00
(3)";170;;;;"17:50:14.18
08:19:15.75
02:29:45.74";;;;;;;11:35:25.18;"06:15:00.00
00:00:11.00"
5;"LEONARDO CASTRO (BA)
ROGERIO ALMEIDA (CE)
Polaris RZR Pro R
C3 Racing - Avant Polaris";;"03:11:06.59
(5)";"02:19:18.91
(1)";"08:00:00.00
(5)";"10:20:00.00
(6)";136;;;;"23:50:25.50
14:19:27.07
06:00:11.32";;;;;;;13:00:25.50;"10:50:00.00
* * *"
6;"DANIEL TRECENTI (SP)
ANDRE BALLA (SP)
Can-Am Maverick X3
Hps Racing";;"07:40:00.00
(6)";"03:10:18.69
(4)";"08:00:00.00
(5)";"06:00:00.00
(4)";145;;;;"24:50:18.69
15:19:20.26
00:59:53.19";;;;;;;15:20:18.69;"09:30:00.00
* * *"
1;"HERON FRANCIOSI (BA)
JEFFINHO TEIXEIRA (SC)
Polaris RZR Pro R
Dango Racing";;"02:55:49.36
(1)";"02:41:59.87
(4)";"02:12:41.04
(2)";"01:38:34.49
(3)";140;;;;09:29:04.76;;;;;;;09:33:01.76;"* * *
00:03:57.00"
2;"CLAUDIO ALENCASTRO (CE)
LUCAS ALENCASTRO (CE)
Polaris RZR Pro R
Lpg Rally Team";;"03:16:11.93
(2)";"02:36:23.58
(2)";"02:15:59.25
(3)";"01:34:39.18
(1)";161;;;;"09:43:13.94
00:14:09.18";;;;;;;09:43:21.94;"* * *
00:00:08.00"
3;"FABIO BEAL (SC)
OSMAR DE MENDONCA (SC)
Can-Am Maverick X3
Four Rally Team";;"03:20:43.05
(3)";"02:33:09.12
(1)";"02:10:56.53
(1)";"01:52:35.81
(4)";157;;;;"09:57:24.51
00:28:19.75
00:14:10.57";;;;;;;09:43:19.51;"00:14:12.00
00:00:07.00"
4;"ALFEU DE CASTRO (CE)
LINCOLN DIEGO (CE)
Polaris RZR Pro R
Lpg Rally Team";;"09:10:00.00
(4)";"02:41:57.86
(3)";"02:18:16.19
(4)";"01:36:57.98
(2)";141;;;;"15:47:12.03
06:18:07.27
05:49:47.52";;;;;;;11:13:18.03;"04:34:00.00
00:00:06.00"
1;"JORGE WAGENFUHR (PR)
GUSTAVO BORTOLANZA (PA)
Can-Am Maverick R
Lifesil - Mrp Performance";;"02:56:25.69
(3)";"02:21:58.89
(2)";"02:09:57.04
(3)";"01:36:12.92
(4)";110;;;;09:04:34.54;;;;;;;09:03:40.54;"00:01:06.00
00:00:12.00"
2;"MARCELO WEYNE (SP)
WILLIAN SANTOS (PR)
Can-Am Maverick R
Caca Leguas";;"02:57:45.20
(4)";"02:25:54.94
(4)";"02:08:06.25
(2)";"01:33:24.77
(2)";154;;;;"09:05:11.16
00:00:36.62";;;;;;;09:05:19.16;"* * *
00:00:08.00"
3;"LEANDRO MOKFA (TO)
GABRIEL DALL AGNOL (TO)
Can-Am Maverick R
Dango Racing";;"02:55:21.27
(2)";"02:49:18.11
(7)";"02:06:28.06
(1)";"01:31:00.01
(1)";144;;;;"09:22:07.45
00:17:32.91
00:16:56.29";;;;;;;09:22:12.45;"* * *
00:00:05.00"
4;"ZECA SAWAYA (SP)
MINAE MIYAUTI (SP)
Can-Am Maverick R
Cotton Racing";;"03:22:58.31
(8)";"02:55:33.18
(8)";"02:40:28.65
(7)";"01:57:45.82
(7)";147;;;;"10:56:45.96
01:52:11.42
01:34:38.51";;;;;;;10:53:45.96;"00:03:12.00
00:00:12.00"
5;"JAIME OLIVEIRA (CE)
PAULO ALCANTARA (CE)
Can-Am Maverick R
Lpg Rally Team";;"03:16:56.82
(7)";"03:19:38.87
(9)";"03:22:22.82
(8)";"01:36:48.77
(5)";160;;;;"11:35:47.28
02:31:12.74
00:39:01.32";;;;;;;11:34:14.28;"00:01:49.00
00:00:16.00"
6;"REINALDO VARELA (SP)
TULIO TANIGUCHI (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"02:52:02.63
(1)";"02:15:10.46
(1)";"02:27:32.67
(6)";"05:30:00.00
(8)";123;;;;"13:04:45.76
04:00:11.22
01:28:58.48";;;;;;;10:34:49.76;"02:30:03.00
00:00:07.00"
7;"LEANDRO TORRES (SP)
BISSINHO ZAVATTI (SP)
Can-Am Maverick R
Torres Racing";;"02:59:40.37
(5)";"02:23:13.07
(3)";"02:12:37.02
(4)";"06:00:00.00
(9)";135;;;;"13:35:30.46
04:30:55.92
00:30:44.70";;;;;;;10:37:39.46;"03:00:00.00
00:02:09.00"
8;"MARCOS FINATO (SP)
GUILHERME HOLANDA (CE)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"07:40:00.00
(9)";"02:35:41.14
(6)";"02:13:02.83
(5)";"01:34:07.77
(3)";142;;;;"14:02:51.74
04:58:17.20
00:27:21.28";;;;;;;11:02:18.74;"03:00:40.00
00:00:07.00"
9;"IVAN KUHNEN (SC)
HUMBERTO PIAUI (PI)
Can-Am Maverick X3
Vigifort Racing";;"03:02:34.17
(6)";"02:26:19.67
(5)";"07:30:00.00
(9)";"01:37:25.76
(6)";158;;;;"14:36:19.60
05:31:45.06
00:33:27.86";;;;;;;11:36:09.60;"03:00:10.00
* * *"
10;"ADRIANO BENVENUTTI (SC)
RAFAEL ESPINDOLA (SC)
Can-Am Maverick R
Transben Racing";;"13:00:00.00
(10)";"12:00:00.00
(10)";"11:50:00.00
(10)";"10:20:00.00
(10)";109;;;;"47:10:00.00
38:05:25.46
32:33:40.40";;;;;;;15:50:00.00;"31:20:00.00
* * *"
