Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h
2013,FRA,6,10,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,49:41:268,141.4
2013,FRA,7,9,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,49:45:668,141.2
2013,FRA,8,8,51,Michele PIRRO,ITA,Ignite,Pramac Racing DUCATI,49:58:482,140.6
2013,FRA,9,7,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,49:59:114,140.6
2013,FRA,10,6,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,50:18:702,139.7
2013,FRA,11,5,29,Andrea IANNONE,ITA,Energy T.I.,Pramac Racing DUCATI,50:22:817,139.5
2013,FRA,12,4,46,Valentino ROSSI,ITA,Yamaha,Factory Racing YAMAHA,50:34:075,139.0
2013,FRA,13,3,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,50:41:907,138.6
2013,FRA,14,2,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA-SUTER,50:43:433,138.6
2013,FRA,15,1,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing ART,50:49:818,138.3
2013,GBR,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,40:52:515,173.2
2013,GBR,2,20,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,40:52:596,173.2
2013,GBR,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,40:54:066,173.1
2013,GBR,4,13,46,Valentino ROSSI,ITA,Yamaha,Factory Racing YAMAHA,41:05:748,172.2
2013,GBR,5,11,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,41:05:813,172.2
2013,GBR,6,10,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:12:742,171.7
2013,GBR,7,9,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:18:814,171.3
2013,GBR,8,8,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,41:28:508,170.7
2013,GBR,9,7,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,41:28:634,170.6
2013,GBR,10,6,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,41:45:711,169.5
2013,GBR,11,5,29,Andrea IANNONE,ITA,Energy T.I.,Pramac Racing DUCATI,41:51:573,169.1
2013,GBR,12,4,51,Michele PIRRO,ITA,Ignite,Pramac Racing DUCATI,41:53:225,169.0
2013,GBR,13,3,8,Hector BARBERA,SPA,Avintia,Blusens FTR,41:54:205,168.9
2013,GBR,14,2,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing FTR KAWASAKI,41:54:358,168.9
2013,GBR,15,1,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA-SUTER,42:01:348,168.4
2013,AUS,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,29:07:155,174.1
2013,AUS,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,29:14:091,173.4
2013,AUS,3,16,46,Valentino ROSSI,ITA,Yamaha,Factory Racing YAMAHA,29:19:499,172.9
2013,AUS,4,13,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,29:19:615,172.9
2013,AUS,5,11,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,29:19:668,172.8
2013,AUS,6,10,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,29:35:418,171.3
2013,AUS,7,9,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,29:40:108,170.9
2013,AUS,8,8,29,Andrea IANNONE,ITA,Energy T.I.,Pramac Racing DUCATI,29:42:217,170.7
2013,AUS,9,7,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,29:42:259,170.7
2013,AUS,10,6,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,29:44:581,170.4
2013,AUS,11,5,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,29:53:254,169.6
2013,AUS,12,4,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing FTR KAWASAKI,29:55:304,169.4
2013,AUS,13,3,68,Yonny HERNANDEZ,COL,Ignite,Pramac Racing DUCATI,29:57:066,169.2
2013,AUS,14,2,8,Hector BARBERA,SPA,Avintia,Blusens FTR,29:57:153,169.2
2013,AUS,15,1,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA-SUTER,30:05:873,168.4
2013,MAL,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,40:45:191,163.3
2013,MAL,2,20,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,40:47:948,163.1
2013,MAL,3,16,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,40:51:860,162.9
2013,MAL,4,13,46,Valentino ROSSI,ITA,Yamaha,Factory Racing YAMAHA,40:55:542,162.6
2013,MAL,5,11,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,41:07:340,161.8
2013,MAL,6,10,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:07:492,161.8
2013,MAL,7,9,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,41:16:055,161.3
2013,MAL,8,8,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:30:302,160.4
2013,MAL,9,7,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,41:44:455,159.4
2013,MAL,10,6,68,Yonny HERNANDEZ,COL,Ignite,Pramac Racing DUCATI,41:46:608,159.3
2013,MAL,11,5,7,Hiroshi AOYAMA,JPN,Avintia,Blusens FTR,41:48:856,159.2
2013,MAL,12,4,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,41:59:447,158.5
2013,MAL,13,3,71,Claudio CORTI ITA,NGM,Mobile,Forward Racing FTR KAWASAKI,42:06:794,158.0
2013,MAL,14,2,8,Hector BARBERA,SPA,Avintia,Blusens FTR,42:13:167,157.6
2013,MAL,15,1,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing FTR KAWASAKI,42:14:633,157.5
2014,VAL,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,46:39:627,154.4
2014,VAL,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,46:43:143,154.3
2014,VAL,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,46:53:667,153.7
2014,VAL,4,13,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,46:56:332,153.5
2014,VAL,5,11,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,46:56:400,153.5
2014,VAL,6,10,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,47:17:511,152.4
2014,VAL,7,9,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,47:17:795,152.4
2014,VAL,8,8,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,47:21:430,152.2
2014,VAL,9,7,51,Michele PIRRO,ITA,Ducati,Team DUCATI,47:25:337,152.0
2014,VAL,10,6,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,47:30:818,151.7
2014,VAL,11,5,8,Hector BARBERA,SPA,Avintia,Racing DUCATI,47:36:139,151.4
2014,VAL,12,4,9,Danilo PETRUCCI,ITA,Octo,IodaRacing Team ART,47:36:627,151.4
2014,VAL,13,3,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,47:36:889,151.4
2014,VAL,14,2,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,47:37:144,151.3
2014,VAL,15,1,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,47:38:402,151.3
2014,ARA,1,25,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,44:20:406,158.0
2014,ARA,2,20,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,44:30:701,157.4
2014,ARA,3,16,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,44:30:718,157.4
2014,ARA,4,13,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,44:32:124,157.3
2014,ARA,5,11,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,44:49:889,156.3
2014,ARA,6,10,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,44:50:092,156.2
2014,ARA,7,9,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,44:50:169,156.2
2014,ARA,8,8,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,44:58:247,155.8
2014,ARA,9,7,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,45:03:363,155.5
2014,ARA,10,6,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,45:14:343,154.9
2014,ARA,11,5,9,Danilo PETRUCCI,ITA,Octo,IodaRacing Team ART,45:20:230,154.5
2014,ARA,12,4,15,Alex DE ANGELIS RSM,NGM,Forward,Racing FORWARD YAMAHA,45:21:124,154.5
2014,ARA,13,3,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,45:35:633,153.6
2014,ARA,14,2,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,45:44:932,153.1
2014,ARA,15,1,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,45:58:661,152.4
2014,JPN,1,25,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,42:21:259,163.2
2014,JPN,2,20,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,42:22:897,163.1
2014,JPN,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:23:861,163.0
2014,JPN,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:24:416,163.0
2014,JPN,5,11,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,42:35:612,162.3
2014,JPN,6,10,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,42:37:912,162.1
2014,JPN,7,9,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,42:40:790,161.9
2014,JPN,8,8,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,42:41:074,161.9
2014,JPN,9,7,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,42:44:834,161.7
2014,JPN,10,6,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,42:56:946,160.9
2014,JPN,11,5,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,43:01:927,160.6
2014,JPN,12,4,21,Katsuyuki NAKASUGA,JPN,YAMALUBE,Racing Team with YAMAHA,43:12:286,160.0
2014,JPN,13,3,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,43:12:352,160.0
2014,JPN,14,2,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,43:17:051,159.7
2014,JPN,15,1,8,Hector BARBERA,SPA,Avintia,Racing DUCATI,43:20:348,159.5
2014,ITA,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:38:254,173.8
2014,ITA,2,20,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,41:38:375,173.8
2014,ITA,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:40:942,173.6
2014,ITA,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:52:300,172.8
2014,ITA,5,11,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,41:53:857,172.7
2014,ITA,6,10,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:55:296,172.6
2014,ITA,7,9,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,41:55:383,172.6
2014,ITA,8,8,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,42:05:661,171.9
2014,ITA,9,7,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,42:20:140,170.9
2014,ITA,10,6,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,42:23:466,170.7
2014,ITA,11,5,51,Michele PIRRO,ITA,Ducati,Team DUCATI,42:23:687,170.7
2014,ITA,12,4,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,42:24:085,170.7
2014,ITA,13,3,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,42:24:093,170.7
2014,ITA,14,2,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,42:25:088,170.6
2014,ITA,15,1,5,Colin EDWARDS USA,NGM,Forward,Racing FORWARD YAMAHA,42:47:808,169.1
2014,ARG,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:39:821,173.0
2014,ARG,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:41:658,172.9
2014,ARG,3,16,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,41:43:022,172.8
2014,ARG,4,13,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:44:719,172.6
2014,ARG,5,11,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:54:850,171.9
2014,ARG,6,10,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,41:59:268,171.6
2014,ARG,7,9,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,42:04:013,171.3
2014,ARG,8,8,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,42:08:939,171.0
2014,ARG,9,7,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,42:13:494,170.7
2014,ARG,10,6,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,42:23:100,170.0
2014,ARG,11,5,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,42:23:173,170.0
2014,ARG,12,4,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,42:24:640,169.9
2014,ARG,13,3,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,42:24:999,169.9
2014,ARG,14,2,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,42:28:477,169.7
2014,ARG,15,1,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,42:32:071,169.4
2014,QAT,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,42:40:561,166.4
2014,QAT,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:40:820,166.3
2014,QAT,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:43:931,166.1
2014,QAT,4,13,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,42:52:184,165.6
2014,QAT,5,11,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,42:52:720,165.6
2014,QAT,6,10,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,43:09:087,164.5
2014,QAT,7,9,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,43:13:154,164.3
2014,QAT,8,8,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,43:13:189,164.3
2014,QAT,9,7,5,Colin EDWARDS USA,NGM,Forward,Racing FORWARD YAMAHA,43:20:108,163.8
2014,QAT,10,6,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,43:23:921,163.6
2014,QAT,11,5,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,43:27:156,163.4
2014,QAT,12,4,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,43:27:249,163.4
2014,QAT,13,3,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,43:31:142,163.1
2014,QAT,14,2,9,Danilo PETRUCCI,ITA,IodaRacing,Project ART,43:43:688,162.4
2014,QAT,15,1,23,Broc PARKES,AUS,Paul,Bird Motorsport PBM,43:54:947,161.7
2014,CAT,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,42:56:914,165.0
2014,CAT,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:57:426,165.0
2014,CAT,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:58:748,164.9
2014,CAT,4,13,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,43:01:454,164.8
2014,CAT,5,11,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,43:08:062,164.3
2014,CAT,6,10,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,43:11:127,164.1
2014,CAT,7,9,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,43:13:041,164.0
2014,CAT,8,8,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,43:13:089,164.0
2014,CAT,9,7,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,43:14:954,163.9
2014,CAT,10,6,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,43:21:695,163.5
2014,CAT,11,5,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,43:34:067,162.7
2014,CAT,12,4,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,43:40:213,162.3
2014,CAT,13,3,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,43:40:321,162.3
2014,CAT,14,2,51,Michele PIRRO,ITA,Ducati,Team DUCATI,43:52:071,161.6
2014,CAT,15,1,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,43:56:105,161.3
2014,NED,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,43:29:954,162.8
2014,NED,2,20,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,43:36:668,162.4
2014,NED,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:40:745,162.2
2014,NED,4,13,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,43:49:153,161.6
2014,NED,5,11,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,43:55:767,161.2
2014,NED,6,10,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,43:58:957,161.0
2014,NED,7,9,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,44:00:836,160.9
2014,NED,8,8,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,44:00:939,160.9
2014,NED,9,7,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,44:13:985,160.1
2014,NED,10,6,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,44:18:616,159.9
2014,NED,11,5,23,Broc PARKES,AUS,Paul,Bird Motorsport PBM,44:21:817,159.7
2014,NED,12,4,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,44:30:283,159.2
2014,NED,13,3,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,44:34:595,158.9
2014,NED,14,2,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,44:35:934,158.8
2014,NED,15,1,9,Danilo PETRUCCI,ITA,Octo,IodaRacing Team ART,44:47:565,158.1
2014,GER,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:47:664,158.1
2014,GER,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:49:130,158.0
2014,GER,3,16,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,41:57:981,157.4
2014,GER,4,13,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:06:858,156.9
2014,GER,5,11,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,42:11:173,156.6
2014,GER,6,10,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,42:15:473,156.3
2014,GER,7,9,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,42:20:917,156.0
2014,GER,8,8,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,42:21:532,155.9
2014,GER,9,7,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,42:21:895,155.9
2014,GER,10,6,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,42:22:340,155.9
2014,GER,11,5,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,42:25:408,155.7
2014,GER,12,4,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,42:32:682,155.3
2014,GER,13,3,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,42:32:841,155.3
2014,GER,14,2,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,42:34:340,155.2
2014,GER,15,1,9,Danilo PETRUCCI,ITA,Octo,IodaRacing Team ART,42:40:433,154.8
2014,FRA,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,44:03:925,159.5
2014,FRA,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,44:05:411,159.4
2014,FRA,3,16,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,44:07:069,159.3
2014,FRA,4,13,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,44:07:642,159.3
2014,FRA,5,11,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,44:08:002,159.3
2014,FRA,6,10,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,44:11:013,159.1
2014,FRA,7,9,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,44:15:452,158.8
2014,FRA,8,8,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,44:26:028,158.2
2014,FRA,9,7,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,44:26:551,158.1
2014,FRA,10,6,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,44:27:033,158.1
2014,FRA,11,5,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,44:29:705,158.0
2014,FRA,12,4,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,44:43:448,157.2
2014,FRA,13,3,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,44:46:469,157.0
2014,FRA,14,2,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,44:46:661,157.0
2014,FRA,15,1,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,45:00:569,156.2
2014,GBR,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,40:51:835,173.2
2014,GBR,2,20,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,40:52:567,173.2
2014,GBR,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:00:354,172.6
2014,GBR,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:00:529,172.6
2014,GBR,5,11,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:01:073,172.6
2014,GBR,6,10,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,41:16:581,171.5
2014,GBR,7,9,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:18:552,171.3
2014,GBR,8,8,29,Andrea IANNONE,ITA,Pramac,Racing DUCATI,41:18:745,171.3
2014,GBR,9,7,41,Aleix ESPARGARO SPA,NGM,Forward,Racing FORWARD YAMAHA,41:25:290,170.9
2014,GBR,10,6,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,41:30:929,170.5
2014,GBR,11,5,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,41:32:090,170.4
2014,GBR,12,4,35,Cal CRUTCHLOW,GBR,Ducati,Team DUCATI,41:34:862,170.2
2014,GBR,13,3,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing HONDA,41:44:080,169.6
2014,GBR,14,2,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,41:50:816,169.1
2014,GBR,15,1,15,Alex DE ANGELIS RSM,NGM,Forward,Racing FORWARD YAMAHA,41:50:999,169.1
2014,AUS,1,25,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,40:46:405,176.7
2014,AUS,2,20,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,40:57:241,175.9
2014,AUS,3,16,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,40:58:699,175.8
2014,AUS,4,13,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:01:298,175.6
2014,AUS,5,11,8,Hector BARBERA,SPA,Avintia,Racing DUCATI,41:16:494,174.5
2014,AUS,6,10,19,Alvaro BAUTISTA,SPA,GO&FUN,Honda Gresini HONDA,41:16:559,174.5
2014,AUS,7,9,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,41:16:563,174.5
2014,AUS,8,8,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,41:19:571,174.3
2014,AUS,9,7,15,Alex DE ANGELIS RSM,NGM,Forward,Racing FORWARD YAMAHA,41:19:982,174.3
2014,AUS,10,6,69,Nicky HAYDEN,USA,Drive M7,Aspar HONDA,41:20:549,174.2
2014,AUS,11,5,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,41:25:873,173.9
2014,AUS,12,4,9,Danilo PETRUCCI,ITA,Octo,IodaRacing Team ART,41:43:089,172.7
2014,AUS,13,3,70,Michael LAVERTY,GBR,Paul,Bird Motorsport PBM,41:59:218,171.6
2014,AUS,14,2,63,Mike DI MEGLIO,FRA,Avintia,Racing AVINTIA,42:14:455,170.5
2014,MAL,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,40:45:523,163.1
2014,MAL,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,40:47:968,163.0
2014,MAL,3,16,99,Jorge LORENZO,SPA,Movistar,Yamaha MotoGP YAMAHA,40:49:031,162.9
2014,MAL,4,13,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:06:757,161.7
2014,MAL,5,11,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,YAMAHA,41:07:806,161.7
2014,MAL,6,10,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,YAMAHA,41:20:191,160.9
2014,MAL,7,9,68,Yonny HERNANDEZ,COL,Energy T.I.,Pramac Racing DUCATI,41:23:958,160.6
2014,MAL,8,8,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:34:362,159.9
2014,MAL,9,7,8,Hector BARBERA,SPA,Avintia,Racing DUCATI,41:36:315,159.8
2014,MAL,10,6,45,Scott REDDING,GBR,GO&FUN,Honda Gresini HONDA,41:44:611,159.3
2014,MAL,11,5,7,Hiroshi AOYAMA,JPN,Drive M7,Aspar HONDA,42:01:472,158.2
2014,MAL,12,4,70,Michael LAVERTY,GBR,Paul,Bird Motorsport PBM,42:03:489,158.1
2014,MAL,13,3,63,Mike DI MEGLIO,FRA,Avintia,Racing AVINTIA,42:13:296,157.5
2014,MAL,14,2,23,Broc PARKES,AUS,Paul,Bird Motorsport PBM,42:29:767,156.5
2004,VAL,1,25,46,Valentino ROSSI,ITA,Gauloises,Fortuna Yamaha YAMAHA,47:16:145,152.509
2004,VAL,2,20,3,Max BIAGGI,ITA,Camel,Honda HONDA,47:16:570,152.486
2004,VAL,3,16,12,Troy BAYLISS,AUS,Ducati,Marlboro Team DUCATI,47:19:278,152.341
2004,VAL,4,13,15,Sete GIBERNAU,SPA,Telefonica,Movistar Honda Mot HONDA,47:22:273,152.181
