Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h,GAP
2009,CAT,8,8,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,43:38:162,162.553,+25.265
2009,CAT,9,7,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,43:44:694,162.149,+31.797
2009,CAT,10,6,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,43:46:490,162.038,+33.593
2009,CAT,11,5,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,43:49:580,161.847,+36.683
2009,CAT,12,4,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,43:49:771,161.836,+36.874
2009,CAT,13,3,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,43:52:330,161.678,+39.433
2009,CAT,14,2,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,43:57:685,161.35,+44.788
2009,CAT,15,1,59,Daniel MILLER,SPA,Aurora Racing Group 11,Francisco Hernando DUCATI,43:59:651,161.23,+46.754
2009,NED,1,25,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,42:15:611,168.21,0
2009,NED,2,20,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,42:20:979,167.854,+5.368
2009,NED,3,16,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,42:38:724,166.69,+23.113
2009,NED,4,13,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,42:44:725,166.3,+29.114
2009,NED,5,11,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:49:216,166.009,+33.605
2009,NED,6,10,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,42:54:958,165.639,+39.347
2009,NED,7,9,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,42:55:154,165.626,+39.543
2009,NED,8,8,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,42:55:434,165.608,+39.823
2009,NED,9,7,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:56:284,165.553,+40.673
2009,NED,10,6,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,43:01:621,165.211,+46.010
2009,NED,11,5,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,43:13:388,164.461,+57.777
2009,NED,12,4,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,43:15:385,165.611,+59.774
2009,NED,13,3,59,Daniel MILLER,SPA,Aurora Racing Group 11,Francisco Hernando DUCATI,43:20:977,163.981,+65.366
2009,NED,14,2,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,43:25:508,163.696,+69.897
2009,NED,15,1,72,George SILVA,JPN,Nebula GP Group 12,Racing Team MotoGP HONDA,43:25:541,163.694,+69.930
2009,POR,1,25,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,45:36:522,154.1,0
2009,POR,2,20,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,45:42:816,153.746,+6.294
2009,POR,3,16,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,45:46:411,153.545,+9.889
2009,POR,4,13,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,45:59:950,152.792,+23.428
2009,POR,5,11,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,46:09:174,152.282,+32.652
2009,POR,6,10,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,46:12:231,152.114,+35.709
2009,POR,7,9,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,46:12:245,152.114,+35.723
2009,POR,8,8,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,46:15:352,151.943,+38.830
2009,POR,9,7,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,46:20:615,151.656,+44.093
2009,POR,10,6,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,46:29:385,151.179,+52.863
2009,POR,11,5,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,46:32:220,151.025,+55.698
2009,POR,12,4,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,46:41:037,150.55,+64.515
2009,POR,13,3,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,46:41:060,150.548,+64.538
2009,POR,14,2,41,John DUPONT,HUN,Nebula GP Group 12,Racing Team MotoGP HONDA,47:03:821,149.334,+87.299
2009,GER,1,25,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,41:22:769,159.752,0
2009,GER,2,20,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,41:22:868,159.745,+0.099
2009,GER,3,16,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,41:25:668,159.565,+2.899
2009,GER,4,13,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,41:32:995,159.096,+10.226
2009,GER,5,11,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,41:44:291,158.378,+21.522
2009,GER,6,10,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,41:53:621,157.79,+30.852
2009,GER,7,9,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,41:54:070,157.762,+31.301
2009,GER,8,8,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,41:54:495,157.735,+31.726
2009,GER,9,7,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,41:55:634,157.664,+32.865
2009,GER,10,6,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,42:06:695,156.973,+43.926
2009,GER,11,5,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:20:144,156.142,+57.375
2009,GER,12,4,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,42:23:308,155.948,+60.539
2009,GER,13,3,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:26:414,155.757,+63.645
2009,GER,14,2,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,42:26:924,155.726,+64.155
2009,GER,15,1,41,John DUPONT,HUN,Nebula GP Group 12,Racing Team MotoGP HONDA,41:23:338,154.391,+0.569
2009,FRA,1,25,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,47:53:678,146.848,0
2009,FRA,2,20,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,48:11:388,145.948,+17.710
2009,FRA,3,16,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,48:13:571,145.838,+19.893
2009,FRA,4,13,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,48:14:133,145.81,+20.455
2009,FRA,5,11,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,48:24:217,145.303,+30.539
2009,FRA,6,10,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,48:31:140,144.957,+37.462
2009,FRA,7,9,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,48:33:869,144.822,+40.191
2009,FRA,8,8,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,48:39:099,144.562,+45.421
2009,FRA,9,7,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,48:43:985,144.32,+50.307
2009,FRA,10,6,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,48:46:896,144.177,+53.218
2009,FRA,11,5,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,48:47:228,144.161,+53.550
2009,FRA,12,4,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,48:50:325,144.008,+56.647
2009,FRA,13,3,72,George SILVA,JPN,Nebula GP Group 12,Racing Team MotoGP HONDA,48:50:366,144.006,+56.688
2009,FRA,14,2,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,49:04:977,143.291,+71.299
2009,FRA,15,1,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,49:09:063,143.093,+75.385
2009,GBR,1,25,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,48:27:267,149.498,0
2009,GBR,2,20,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,48:28:627,149.429,+1.360
2009,GBR,3,16,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,48:28:867,149.416,+1.600
2009,GBR,4,13,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,48:36:225,149.039,+8.958
2009,GBR,5,11,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,48:48:889,148.394,+21.622
2009,GBR,6,10,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,48:49:732,148.352,+22.465
2009,GBR,7,9,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,49:02:551,147.705,+35.284
2009,GBR,8,8,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,49:06:036,147.53,+38.769
2009,GBR,9,7,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,49:09:379,147.363,+42.112
2009,GBR,10,6,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,49:13:112,147.177,+45.845
2009,GBR,11,5,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,49:20:457,146.812,+53.190
2009,GBR,12,4,41,John DUPONT,HUN,Nebula GP Group 12,Racing Team MotoGP HONDA,49:39:582,145.869,+72.315
2009,GBR,13,3,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,49:47:665,145.474,+80.398
2009,GBR,14,2,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,49:26:241,141.641,+58.974
2009,GBR,15,1,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,49:44:835,140.758,+77.568
2009,AUS,1,25,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,40:57:651,175.989,0
2009,AUS,2,20,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,40:59:586,175.851,+1.935
2009,AUS,3,16,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,41:20:269,174.384,+22.618
2009,AUS,4,13,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,41:30:353,173.677,+32.702
2009,AUS,5,11,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,41:33:536,173.456,+35.885
2009,AUS,6,10,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,41:36:133,173.275,+38.482
2009,AUS,7,9,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,41:42:112,172.861,+44.461
2009,AUS,8,8,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,41:42:592,172.828,+44.941
2009,AUS,9,7,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,41:51:996,172.18,+54.345
2009,AUS,10,6,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,41:58:856,171.711,+61.205
2009,AUS,11,5,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:03:068,171.425,+65.417
2009,AUS,12,4,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,42:03:601,171.388,+65.950
2009,AUS,13,3,41,John DUPONT,HUN,Nebula GP Group 12,Racing Team MotoGP HONDA,42:15:602,170.577,+77.951
2009,AUS,14,2,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,42:15:636,170.575,+77.985
2009,AUS,15,1,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,41:28:127,167.395,+30.476
2009,MAL,1,25,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,47:25:834,147.435,0
2009,MAL,2,20,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,47:40:500,146.679,+14.666
2009,MAL,3,16,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,47:45:219,146.437,+19.385
2009,MAL,4,13,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,47:51:684,146.107,+25.850
2009,MAL,5,11,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,48:04:539,145.456,+38.705
2009,MAL,6,10,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,48:06:895,145.337,+41.061
2009,MAL,7,9,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,48:14:389,144.961,+48.555
2009,MAL,8,8,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,48:21:391,144.611,+55.557
2009,MAL,9,7,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,48:26:137,144.374,+60.303
2009,MAL,10,6,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,48:26:274,144.368,+60.440
2009,MAL,11,5,44,Leo GASLY,SPA,Stratus Motorsport Group 7,Racing DUCATI,48:27:489,144.307,+61.655
2009,MAL,12,4,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,48:27:681,144.298,+61.847
2009,MAL,13,3,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,48:36:612,143.856,+70.778
2009,MAL,14,2,41,John DUPONT,HUN,Nebula GP Group 12,Racing Team MotoGP HONDA,48:41:685,143.606,+75.851
2009,MAL,15,1,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,49:16:506,141.914,+110.672
2007,VAL,1,25,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,46:44:533,154.283,0
2007,VAL,2,20,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,46:49:980,153.984,+5.447
2007,VAL,3,16,21,Alex WEBER,USA,Titan GP Group 9,Suzuki MotoGP SUZUKI,47:04:937,153.169,+20.404
2007,VAL,4,13,33,Lewis TSUNODA,ITA,Vortex Racing Group 8,Gresini HONDA,47:09:360,152.929,+24.827
2007,VAL,5,11,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,47:10:337,152.876,+25.804
2007,VAL,6,10,71,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,47:10:395,152.873,+25.862
2007,VAL,7,9,4,Carlos ROSSI,BRA,Stratus Motorsport Group 7,d'Antin DUCATI,47:14:003,152.678,+29.470
2007,VAL,8,8,1,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,47:14:866,152.632,+30.333
2007,VAL,9,7,14,Pierre MARQUEZ,FRA,Apex Racing Group 13,Racing Team KAWASAKI,47:15:428,152.602,+30.895
2007,VAL,10,6,24,Marcio HAMILTON,SPA,Vortex Racing Group 8,Gresini HONDA,47:15:563,152.594,+31.030
2007,VAL,11,5,50,Hans VETTEL,FRA,Quantum Motorsports Group 14,YAMAHA,47:23:296,152.179,+38.763
2007,VAL,12,4,7,Marcio HAMILTON,SPA,Vortex Racing Group 8,LCR HONDA,47:27:039,151.979,+42.506
2007,VAL,13,3,5,Pierre MARQUEZ,USA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,47:31:105,151.762,+46.572
2007,VAL,14,2,56,Lucas NORRIS,JPN,Velocity Team Group 15,Minolta Honda HONDA,47:34:753,151.568,+50.220
2007,VAL,15,1,6,Oliver LECLERC,JPN,Quantum Motorsports Group 14,YAMAHA,47:41:412,151.215,+56.879
2007,JPN,1,25,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,47:06:484,146.808,0
2007,JPN,2,20,14,Pierre MARQUEZ,FRA,Apex Racing Group 13,Racing Team KAWASAKI,47:17:337,146.247,+10.853
2007,JPN,3,16,24,Marcio HAMILTON,SPA,Vortex Racing Group 8,Gresini HONDA,47:18:010,146.212,+11.526
2007,JPN,4,13,50,Hans VETTEL,FRA,Quantum Motorsports Group 14,YAMAHA,47:18:676,146.178,+12.192
2007,JPN,5,11,33,Lewis TSUNODA,ITA,Vortex Racing Group 8,Gresini HONDA,47:35:053,145.339,+28.569
2007,JPN,6,10,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,47:37:663,145.206,+31.179
2007,JPN,7,9,13,Diego RICCIARDO,AUS,Apex Racing Group 13,Racing Team KAWASAKI,47:56:485,144.256,+50.001
2007,JPN,8,8,4,Carlos ROSSI,BRA,Stratus Motorsport Group 7,d'Antin DUCATI,47:58:827,144.138,+52.343
